clause_number,title,regulation,full_text_url,risk_category,risk_level,description,flow_down_required,applicability_notes
252.201-7000,Contracting Officer's Representative,DFARS,https://www.acquisition.gov/dfars/252.201-7000,TBD,2,Contracting Officer's Representative,Conditional,Review contract requirements
252.203-7000,Requirements Relating to Compensation of Former DoD Officials,DFARS,https://www.acquisition.gov/dfars/252.203-7000,TBD,2,Requirements Relating to Compensation of Former DoD Officials,Conditional,Review contract requirements
252.203-7001,Prohibition on Persons Convicted of Fraud or Other Defense Contract-Related Felonies,DFARS,https://www.acquisition.gov/dfars/252.203-7001,TBD,2,Prohibition on Persons Convicted of Fraud or Other Defense Contract-Related Felonies,Conditional,Review contract requirements
252.203-7002,Requirement to Inform Employees of Whistleblower Rights,DFARS,https://www.acquisition.gov/dfars/252.203-7002,TBD,2,Requirement to Inform Employees of Whistleblower Rights,Conditional,Review contract requirements
252.203-7003,Agency Office of the Inspector General,DFARS,https://www.acquisition.gov/dfars/252.203-7003,TBD,2,Agency Office of the Inspector General,Conditional,Review contract requirements
252.203-7004,Display of Hotline Posters,DFARS,https://www.acquisition.gov/dfars/252.203-7004,TBD,2,Display of Hotline Posters,Conditional,Review contract requirements
252.203-7005,Representation Relating to Compensation of Former DoD Officials,DFARS,https://www.acquisition.gov/dfars/252.203-7005,TBD,2,Representation Relating to Compensation of Former DoD Officials,Conditional,Review contract requirements
252.204-7000,Disclosure of Information,DFARS,https://www.acquisition.gov/dfars/252.204-7000,TBD,2,Disclosure of Information,Conditional,Review contract requirements
252.204-7001,Reserved,DFARS,https://www.acquisition.gov/dfars/252.204-7001,TBD,2,Reserved,Conditional,Review contract requirements
252.204-7002,Payment for Contract Line or Subline Items Not Separately Priced,DFARS,https://www.acquisition.gov/dfars/252.204-7002,TBD,2,Payment for Contract Line or Subline Items Not Separately Priced,Conditional,Review contract requirements
252.204-7003,Control of Government Personnel Work Product,DFARS,https://www.acquisition.gov/dfars/252.204-7003,TBD,2,Control of Government Personnel Work Product,Conditional,Review contract requirements
252.204-7004,Antiterrorism Awareness Training for Contractors,DFARS,https://www.acquisition.gov/dfars/252.204-7004,TBD,2,Antiterrorism Awareness Training for Contractors,Conditional,Review contract requirements
252.204-7005,Reserved,DFARS,https://www.acquisition.gov/dfars/252.204-7005,TBD,2,Reserved,Conditional,Review contract requirements
252.204-7006,Billing Instructions-Cost Vouchers,DFARS,https://www.acquisition.gov/dfars/252.204-7006,TBD,2,Billing Instructions-Cost Vouchers,Conditional,Review contract requirements
252.204-7007,"Alternate A, Annual Representations and Certifications",DFARS,https://www.acquisition.gov/dfars/252.204-7007,TBD,2,"Alternate A, Annual Representations and Certifications",Conditional,Review contract requirements
252.204-7008,Compliance with Safeguarding Covered Defense Information Controls,DFARS,https://www.acquisition.gov/dfars/252.204-7008,TBD,2,Compliance with Safeguarding Covered Defense Information Controls,Conditional,Review contract requirements
