clause_number,title,regulation,full_text_url,risk_category,risk_level,description,flow_down_required,applicability_notes
52.201-1,Acquisition 360: Voluntary Survey,FAR,https://www.acquisition.gov/far/52.201-1,TBD,2,Acquisition 360: Voluntary Survey,Yes,Review contract requirements
52.202-1,Definitions,FAR,https://www.acquisition.gov/far/52.202-1,TBD,2,Definitions,Yes,Review contract requirements
52.203-1,[Reserved],FAR,https://www.acquisition.gov/far/52.203-1,TBD,2,[Reserved],Yes,Review contract requirements
52.203-2,Certificate of Independent Price Determination,FAR,https://www.acquisition.gov/far/52.203-2,TBD,2,Certificate of Independent Price Determination,Yes,Review contract requirements
52.203-3,Gratuities,FAR,https://www.acquisition.gov/far/52.203-3,TBD,2,Gratuities,Yes,Review contract requirements
52.203-4,[Reserved],FAR,https://www.acquisition.gov/far/52.203-4,TBD,2,[Reserved],Yes,Review contract requirements
52.203-5,Covenant Against Contingent Fees,FAR,https://www.acquisition.gov/far/52.203-5,TBD,2,Covenant Against Contingent Fees,Yes,Review contract requirements
52.203-6,Restrictions on Subcontractor Sales to the Government,FAR,https://www.acquisition.gov/far/52.203-6,TBD,2,Restrictions on Subcontractor Sales to the Government,Yes,Review contract requirements
52.203-7,Anti-Kickback Procedures,FAR,https://www.acquisition.gov/far/52.203-7,TBD,2,Anti-Kickback Procedures,Yes,Review contract requirements
52.203-8,"Cancellation, Rescission, and Recovery of Funds for Illegal or Improper Activity",FAR,https://www.acquisition.gov/far/52.203-8,TBD,2,"Cancellation, Rescission, and Recovery of Funds for Illegal or Improper Activity",Yes,Review contract requirements
52.203-9,[Reserved],FAR,https://www.acquisition.gov/far/52.203-9,TBD,2,[Reserved],Yes,Review contract requirements
52.203-10,Price or Fee Adjustment for Illegal or Improper Activity,FAR,https://www.acquisition.gov/far/52.203-10,TBD,2,Price or Fee Adjustment for Illegal or Improper Activity,Yes,Review contract requirements
52.203-11,Certification and Disclosure Regarding Payments to Influence Certain Federal Transactions,FAR,https://www.acquisition.gov/far/52.203-11,TBD,2,Certification and Disclosure Regarding Payments to Influence Certain Federal Transactions,Yes,Review contract requirements
52.203-12,Limitation on Payments to Influence Certain Federal Transactions,FAR,https://www.acquisition.gov/far/52.203-12,TBD,2,Limitation on Payments to Influence Certain Federal Transactions,Yes,Review contract requirements
52.203-13,Contractor Code of Business Ethics and Conduct,FAR,https://www.acquisition.gov/far/52.203-13,TBD,2,Contractor Code of Business Ethics and Conduct,Yes,Review contract requirements
52.203-14,Display of Hotline Poster(s),FAR,https://www.acquisition.gov/far/52.203-14,TBD,2,Display of Hotline Poster(s),Yes,Review contract requirements
52.203-15,Whistleblower Protections Under the American Recovery and Reinvestment Act of 2009,FAR,https://www.acquisition.gov/far/52.203-15,TBD,2,Whistleblower Protections Under the American Recovery and Reinvestment Act of 2009,Yes,Review contract requirements
