control_identifier,domain,level,practice_statement,objective,discussion,evidence_examples
AC.L2-3.1.1,Access Control,Level 2,"Limit system access to authorized users, processes acting on behalf of authorized users, and devices (including other systems).","Prevent unauthorized access to organizational systems.","Organizations should implement access control policies and enforce them through technical and administrative controls.","Access control lists, MFA logs, user provisioning records"
AC.L2-3.1.2,Access Control,Level 2,"Limit system access to the types of transactions and functions that authorized users are permitted to execute.","Ensure users can only perform authorized functions.","Role-based access control (RBAC) should be implemented to limit user capabilities based on job functions.","RBAC policy documents, permission matrices, audit logs"
AC.L2-3.1.3,Access Control,Level 2,"Control the flow of CUI in accordance with approved authorizations.","Prevent unauthorized information flow.","Information flow control mechanisms should enforce approved authorizations for controlling the flow of CUI within the system and between interconnected systems.","Data flow diagrams, firewall rules, DLP logs"
AC.L2-3.1.4,Access Control,Level 2,"Separate the duties of individuals to reduce the risk of malevolent activity without collusion.","Prevent fraud and errors through separation of duties.","No single individual should have all necessary authority or information access to complete sensitive transactions alone.","Separation of duties matrix, dual authorization logs"
AC.L2-3.1.5,Access Control,Level 2,"Employ the principle of least privilege, including for specific security functions and privileged accounts.","Minimize access rights to what is strictly required.","Users should only be granted the minimum privileges necessary to accomplish assigned tasks.","Privilege reviews, least privilege policy, access logs"
AC.L2-3.1.6,Access Control,Level 2,"Use non-privileged accounts or roles when accessing nonsecurity functions.","Reduce exposure of privileged credentials.","Administrative functions should be performed using separate privileged accounts, not standard user accounts.","Privileged account usage logs, account separation policy"
AC.L2-3.1.7,Access Control,Level 2,"Prevent non-privileged users from executing privileged functions and capture the execution of such functions in audit logs.","Prevent privilege escalation.","Systems should prevent unauthorized elevation of privileges and log all privileged function execution.","Sudo logs, privilege escalation prevention controls"
AC.L2-3.1.8,Access Control,Level 2,"Limit unsuccessful logon attempts.","Prevent brute force attacks.","Systems should lock accounts or introduce delays after a specified number of failed login attempts.","Account lockout policy, failed login attempt logs"
AC.L2-3.1.9,Access Control,Level 2,"Provide privacy and security notices consistent with applicable CUI rules.","Inform users of their responsibilities.","Users should be presented with privacy and security notices before granting access to systems containing CUI.","System use notification banners, user acknowledgments"
AC.L2-3.1.10,Access Control,Level 2,"Use session lock with pattern-hiding displays to prevent access and viewing of data after period of inactivity.","Protect unattended systems.","Systems should automatically lock after a defined period of inactivity and hide displayed information.","Screen lock settings, inactivity timeout configuration"
